,,,,,,,language,,
H3051,1094,yâhab,hey-beyt,הב,give,aba,Southern Sotho,יהב,aba.mp3
H14,1002,ʼâbâh,aleph-beyt,אב,steal,aba,Nyanja,אבה,
H76,1039,ʼăbaʻbuʻâh,beyt-ayin,בע,inflammatory pustule,ʼăbaʻbuʻâh,Hebrew,אבעבעה,
H75,1038,ʼâbaç,beyt-samehh,בס,fodder,ʼâbaç,Hebrew,אבס,
H5649,2518,ʻăbad,ayin-beyt-dalet,עבד,servant,ʻăbad,Hebrew,עבד,
H5648,2518,ʻăbad,ayin-beyt-dalet,עבד,do,ʻăbad,Hebrew,עבד,
H5652,2518,ʻăbâd,ayin-beyt-dalet,עבד,deed,ʻăbâd,Hebrew,עבד,
H6,1027,ʼâbad,beyt-dalet,בד,wanderer is one who is alone or lost,ʼâbad,Hebrew,אבד,
H6,1027,ʼâbad,beyt-dalet,בד,annihilate,ʼâbad,Hebrew,אבד,
H6,1027,ʼâbad,beyt-dalet,בד,perish,ʼâbad,Hebrew,אבד,
H6,1027,ʼâbad,beyt-dalet,בד,wanderer,ʼâbad,Hebrew,אבד,
H7,1027,ʼăbad,beyt-dalet,בד,destroy,ʼăbad,Hebrew,אבד,
H7,1027,ʼăbad,beyt-dalet,בד,perish,ʼăbad,Hebrew,אבד,
H6,1027,ʼâbad,beyt-dalet,בד,die,abada,Nyanja,אבד,abada.mp3
H6,1027,ʼâbad,beyt-dalet,בד,they die,abada,Nyanja,אבד,abada.mp3
H10,1027,ʼăbaddôh,beyt-dalet,בד,perishing,ʼăbaddôh,Hebrew,אבדה,
H11,1027,ʼăbaddôwn,beyt-dalet,בד,perishing,ʼăbaddôwn,Hebrew,אבדון,
H5,1111,ʼĂbagthâʼ,NAME,אבגתא,Abagtha,ʼĂbagthâʼ,Hebrew,אבגתא,
H5666,1508,ʻâbâh,ayin-beyt,עב,be dense,ʻâbâh,Hebrew,עבה,
H14,1002,ʼâbâh,aleph-beyt,אב,consent,ʼâbâh,Hebrew,אבה,
H14,1002,ʼâbâh,aleph-beyt,אב,refuse,ʼâbâh,Hebrew,אבה,
H14,1002,ʼâbâh,aleph-beyt,אב,unwilling,ʼâbâh,Hebrew,אבה,
H14,1002,ʼâbâh,aleph-beyt,אב,willing,ʼâbâh,Hebrew,אבה,
H55,1034,ʼâbak,beyt-kaph,בכ,coil,ʼâbak,Hebrew,אבך,
H56,1035,ʼâbal,beyt-lamed,בל,bewail,ʼâbal,Hebrew,אבל,
H2256,2141,chebel,hhet-beyt-lamed,חבל,share,abala,Southern Sotho,חבל,abala.mp3
H1121,1037,bên,bet-nunu,בנ,children,abana ,Bemba,בן,
H71,1111,ʼĂbânâh,NAME,אבנה,Abanah,ʼĂbânâh,Hebrew,אבנה,
H4962,1298,math,mem-tav,מת,human beings,abantu,Zulu,מת,abantu.mp3
H4962,1298,math,mem-tav,מת,mortals,abantu,Zulu,מת,abantu.mp3
H79,1042,ʼâbaq,beyt-quph,בק,bedust,ʼâbaq,Hebrew,אבק,
H80,1042,ʼâbâq,beyt-quph,בק,particles,ʼâbâq,Hebrew,אבק,
H81,1042,ʼăbâqâh,beyt-quph,בק,powder,ʼăbâqâh,Hebrew,אבקה,
H81,1042,ʼăbâqâh,beyt-quph,בק,spice,ʼăbâqâh,Hebrew,אבקה,
H565,1288,ʼimrâh,mem-lamed,מל,speak,abar,Pedi,אמרה,abar.mp3
H5675,2520,ʻăbar,ayin-beyt-resh,עבר,beyond,ʻăbar,Hebrew,עבר,
H5675,2520,ʻăbar,ayin-beyt-resh,עבר,opposite,ʻăbar,Hebrew,עבר,
H82,1043,ʼâbar,beyt-resh,בר,soar,ʼâbar,Hebrew,אבר,
H5679,2520,ʻăbârâh,ayin-beyt-resh,עבר,crossing-place,ʻăbârâh,Hebrew,עברה,
H1,1002,ʼâb,aleph-bet,אב,father of many nations,abarahama,Hebrew,אב,
H5682,1111,ʻĂbârîym,NAME,עברים,Abarim,ʻĂbârîym,Hebrew,עברים,
H5686,2522,ʻâbath,ayin-beyt-tav,עבת,interlace,ʻâbath,Hebrew,עבת,
H20,2013,ʼăbaṭṭîyach,beyt-tet-hhet,בטח,melon,ʼăbaṭṭîyach,Hebrew,אבטיח,
H47,1043,ʼabbîyr,beyt-resh,בר,angels',ʼabbîyr,Hebrew,אביר,
H47,1043,ʼabbîyr,beyt-resh,בר,bulls,ʼabbîyr,Hebrew,אביר,
H47,1043,ʼabbîyr,beyt-resh,בר,chiefest,ʼabbîyr,Hebrew,אביר,
H47,1043,ʼabbîyr,beyt-resh,בר,mighty,ʼabbîyr,Hebrew,אביר,
H47,1043,ʼabbîyr,beyt-resh,בר,strong,ʼabbîyr,Hebrew,אביר,
H47,1043,ʼabbîyr,beyt-resh,בר,strong ones,ʼabbîyr,Hebrew,אביר,
H47,1043,ʼabbîyr,beyt-resh,בר,valiant,ʼabbîyr,Hebrew,אביר,
H5647,2518,ʻâbad,ayin-beyt-dalet,עבד,fall,abda,Igbo,עבד, 
H5653,1111,ʻAbdâʼ,NAME,עבדא,Abda,ʻAbdâʼ,Hebrew,עבדא,
H12,1027,ʼabdân,beyt-dalet,בד,perishing,ʼabdân,Hebrew,אבדן,
H5655,1111,ʻAbdᵉʼêl,NAME,עבדאל,Abdeel,ʻAbdᵉʼêl,Hebrew,עבדאל,
H5660,1111,ʻAbdîy,NAME,עבדי,Abdi,ʻAbdîy,Hebrew,עבדי,
H5661,1111,ʻAbdîyʼêl,NAME,עבדיאל,Abdiel,ʻAbdîyʼêl,Hebrew,עבדיאל,
H5658,1111,ʻAbdôwn,NAME,עבדון,Abdon,ʻAbdôwn,Hebrew,עבדון,
H5659,2518,ʻabdûwth,ayin-beyt-dalet,עבד,servitude,ʻabdûwth,Hebrew,עבדות,
H3854,1255,lahag,lamed-beyt,לב,blade,abe,Yoruba,להג, 
H15,1002,ʼâbeh,aleph-beyt,אב,steal,abe,Nyanja,אבה,
H14,1002,ʼâbâh,aleph-beyt,אב,consent,abe,Southern Sotho,אבה,abe.mp3
H14,1028,ʼâbâh,beyt-hey,בה,consent,abe,Southern Sotho,אבה,abe.mp3
H14,1028,ʼâbâh,beyt-hey,בה,unwilling,abe,Southern Sotho,אבה,abe.mp3
H14,1028,ʼâbâh,beyt-hey,בה,willing,abe,Southern Sotho,אבה,abe.mp3
H14,1028,ʼâbâh,beyt-hey,בה,yield,abe,Southern Sotho,אבה,abe.mp3
H5664,1111,ʻĂbêd Nᵉgôw,NAME,עבד נגו,Abed-Nego,ʻĂbêd Nᵉgôw,Hebrew,עבד נגו,
H5665,1111,ʻĂbêd Nᵉgôwʼ,NAME,עבד נגוא,Abed-Nego,ʻĂbêd Nᵉgôwʼ,Hebrew,עבד נגוא,
H9,1027,ʼăbêdâh,beyt-dalet,בד,lost,ʼăbêdâh,Hebrew,אבדה,
H15,1002,ʼâbeh,aleph-beyt,אב,my desire,ʼâbeh,Hebrew,אבה,
H59,1111,ʼÂbêl,NAME,אבל,Abel,ʼÂbêl,Hebrew,אבל,
H58,1035,ʼâbêl,beyt-lamed,בל,meadow,ʼâbêl,Hebrew,אבל,
H57,1035,ʼâbêl,beyt-lamed,בל,lamenting,ʼâbêl,Hebrew,אבל,
H62,1111,ʼÂbêl Bêyth-Măʻakâh,NAME,אבל ביתמעכה,Abel of Beth-maakah,ʼÂbêl Bêyth-Măʻakâh,Hebrew,אבל ביתמעכה,
H63,1111,ʼÂbêl hash-Shiṭṭîym,NAME,אבל השטים,Abel hash-Shittim,ʼÂbêl hash-Shiṭṭîym,Hebrew,אבל השטים,
H64,1111,ʼÂbêl Kᵉrâmîym,NAME,אבל כרמים,Abel-Keramim,ʼÂbêl Kᵉrâmîym,Hebrew,אבל כרמים,
H66,1111,ʼAbêl Mayim,NAME,אבל מים,Abel-Majim,ʼAbêl Mayim,Hebrew,אבל מים,
H65,1111,ʼÂbêl Mᵉchôwlâh,NAME,אבל מחולה,Abel-Mecholah,ʼÂbêl Mᵉchôwlâh,Hebrew,אבל מחולה,
H67,1111,ʼÂbêl Mitsrayim,NAME,אבל מצרים,Abel-Mitsrajim,ʼÂbêl Mitsrayim,Hebrew,אבל מצרים,
H2256,2141,chebel,hhet-beyt-lamed,חבל,assign,abela,Southern Sotho,חבל,abela.mp3
H2256,2141,chebel,hhet-beyt-lamed,חבל,share,abela,Southern Sotho,חבל,abela.mp3
H5672,1508,ʻăbîy,ayin-beyt,עב,density,ʻăbîy,Hebrew,עבי,
H21,1111,ʼĂbîy,NAME,אבי,Abi,ʼĂbîy,Hebrew,אבי,
H25,1111,ʼĂbîy Gibʻôwn,NAME,אבי גבעון,Abi-Gibon,ʼĂbîy Gibʻôwn,Hebrew,אבי גבעון,
H33,1111,ʼĂbîy hâ-ʻEzrîy,NAME,אבי העזרי,Abiezrite,ʼĂbîy hâ-ʻEzrîy,Hebrew,אבי העזרי,
H23,1111,ʼĂbîyʼâçâph,NAME,אביאסף,Abiasaph,ʼĂbîyʼâçâph,Hebrew,אביאסף,
H29,1111,ʼĂbîyâh,NAME,אביה,Abijah,ʼĂbîyâh,Hebrew,אביה,
H45,1111,ʼĂbîy-ʻalbôwn,NAME,אביעלבון,Abialbon,ʼĂbîy-ʻalbôwn,Hebrew,אביעלבון,
H38,1111,ʼĂbîyâm,NAME,אבים,Abijam,ʼĂbîyâm,Hebrew,אבים,
H28,1111,ʼĂbîydâʻ,NAME,אבידע,Abida,ʼĂbîydâʻ,Hebrew,אבידע,
H5673,2518,ʻăbîydâh,ayin-beyt-dalet,עבד,affair,ʻăbîydâh,Hebrew,עבידה,
H5673,2518,ʻăbîydâh,ayin-beyt-dalet,עבד,labor,ʻăbîydâh,Hebrew,עבידה,
H5673,2518,ʻăbîydâh,ayin-beyt-dalet,עבד,service,ʻăbîydâh,Hebrew,עבידה,
H5673,2518,ʻăbîydâh,ayin-beyt-dalet,עבד,work,ʻăbîydâh,Hebrew,עבידה,
H27,1111,ʼĂbîydân,NAME,אבידן,Abidan,ʼĂbîydân,Hebrew,אבידן,
H22,1111,ʼĂbîyʼêl,NAME,אביאל,Abiel,ʼĂbîyʼêl,Hebrew,אביאל,
H44,1111,ʼĂbîyʻezer,NAME,אביעזר,Abiezer,ʼĂbîyʻezer,Hebrew,אביעזר,
H26,1111,ʼĂbîygayil,NAME,אביגיל,Abigail,ʼĂbîygayil,Hebrew,אביגיל,
H32,1111,ʼĂbîyhayil,NAME,אביהיל,Abihail,ʼĂbîyhayil,Hebrew,אביהיל,
H30,1111,ʼĂbîyhûwʼ,NAME,אביהוא,Abihu,ʼĂbîyhûwʼ,Hebrew,אביהוא,
H31,1111,ʼĂbîyhûwd,NAME,אביהוד,Abihud,ʼĂbîyhûwd,Hebrew,אביהוד,
H39,1111,ʼĂbîymâʼêl,NAME,אבימאל,Abimael,ʼĂbîymâʼêl,Hebrew,אבימאל,
H40,1111,ʼĂbîymelek,NAME,אבימלך,Abimelek,ʼĂbîymelek,Hebrew,אבימלך,
H41,1111,ʼĂbîynâdâb,NAME,אבינדב,Abinadab,ʼĂbîynâdâb,Hebrew,אבינדב,
H42,1111,ʼĂbîynôʻam,NAME,אבינעם,Abinoam,ʼĂbîynôʻam,Hebrew,אבינעם,
H35,1033,ʼăbîyôwnâh,beyt-yud,בי,desire,ʼăbîyôwnâh,Hebrew,אביונה,
H46,1043,ʼâbîyr,beyt-resh,בר,mighty,ʼâbîyr,Hebrew,אביר,
H48,1111,ʼĂbîyrâm,NAME,אבירם,Abiram,ʼĂbîyrâm,Hebrew,אבירם,
H49,1111,ʼĂbîyshag,NAME,אבישג,Abishag,ʼĂbîyshag,Hebrew,אבישג,
H53,1111,ʼĂbîyshâlôwm,NAME,אבישלום,Abshalom,ʼĂbîyshâlôwm,Hebrew,אבישלום,
H52,1111,ʼĂbîyshay,NAME,אבישי,Abishai,ʼĂbîyshay,Hebrew,אבישי,
H50,1111,ʼĂbîyshûwaʻ,NAME,אבישוע,Abishua,ʼĂbîyshûwaʻ,Hebrew,אבישוע,
H51,1111,ʼĂbîyshûwr,NAME,אבישור,Abishur,ʼĂbîyshûwr,Hebrew,אבישור,
H37,1111,ʼĂbîyṭâl,NAME,אביטל,Abital,ʼĂbîyṭâl,Hebrew,אביטל,
H36,1111,ʼĂbîyṭûwb,NAME,אביטוב,Abitub,ʼĂbîyṭûwb,Hebrew,אביטוב,
H74,1111,ʼAbnêr,NAME,אבנר,Abner,ʼAbnêr,Hebrew,אבנר,
H73,2022,ʼabnêṭ,beyt-nun-tet,בנט,belt,ʼabnêṭ,Hebrew,אבנט,
H73,2022,ʼabnêṭ,beyt-nun-tet,בנט,girdle,ʼabnêṭ,Hebrew,אבנט,
H73,2022,ʼabnêṭ,beyt-nun-tet,בנט,sash,ʼabnêṭ,Hebrew,אבנט,
H1895,1043,hâbar,beyt-resh,בר,divide,abola,Southern Sotho,הבר,abola.mp3
H5687,1508,ʻâbôth,ayin-beyt,עב,intwined,ʻâbôth,Hebrew,עבת,
H5688,1508,ʻăbôth,ayin-beyt,עב,intwined,ʻăbôth,Hebrew,עבת,
H5667,2519,ʻăbôwṭ,ayin-beyt-tet,עבט,pawn,ʻăbôwṭ,Hebrew,עבוט,
H17,1033,ʼăbôwy,beyt-yud,בי,sorrow,ʼăbôwy,Hebrew,אבוי,
H85,1111,ʼAbrâhâm,NAME,אברהם,Abraham,ʼAbrâhâm,Hebrew,אברהם,
H87,1111,ʼAbrâm,NAME,אברם,Abram,ʼAbrâm,Hebrew,אברם,
H5671,2519,ʻabṭîyṭ,ayin-beyt-tet,עבט,pledged,ʻabṭîyṭ,Hebrew,עבטיט,
H6315,1376,pûwach,pey-hhet,פח,song,abu,Igbo,פוח, 
H5657,2518,ʻăbuddâh,ayin-beyt-dalet,עבד,wrought,ʻăbuddâh,Hebrew,עבדה,
H5674,2520,ʻâbar,ayin-beyt-resh,עבר,crossover,abuk,Bemba,עבר, 
H1891,1035,hâbal,beyt-lamed,בל,he disappears,abula,Pedi,הבל,abula.mp3
H5669,2520,ʻâbûwr,ayin-beyt-resh,עבר,passed,ʻâbûwr,Hebrew,עבור,
H5668,2520,ʻâbûwr,ayin-beyt-resh,עבר,crossed,ʻâbûwr,Hebrew,עבור,
H5668,2520,ʻâbûwr,ayin-beyt-resh,עבר,deed,ʻâbûwr,Hebrew,עבור,
H609,1111,ʼÂçâʼ,NAME,אסא,Asa,ʼÂçâʼ,Hebrew,אסא,
H6072,1521,ʻâçaç,ayin-samehh,עס,squeeze out juice,ʻâçaç,Hebrew,עסס,
H6072,1521,ʻâçaç,ayin-samehh,עס,tread,ʻâçaç,Hebrew,עסס,
H618,1335,ʼâçâm,samehh-mem,סמ,storehouse,ʼâçâm,Hebrew,אסם,
H622,1339,ʼâçaph,samehh-pey,ספ,gather,ʼâçaph,Hebrew,אסף,
H623,1111,ʼÂçâph,NAME,אסף,Asaph,ʼÂçâph,Hebrew,אסף,
H631,1342,ʼâçar,samehh-resh,סר,yoke,ʼâçar,Hebrew,אסר,
H617,1111,ʼAççîyr,NAME,אסיר,Assir,ʼAççîyr,Hebrew,אסיר,
H616,1342,ʼaççîyr,samehh-resh,סר,prisoner,ʼaççîyr,Hebrew,אסיר,
H621,1111,ʼÂçᵉnath,NAME,אסנת,Asenath,ʼÂçᵉnath,Hebrew,אסנת,
H626,1339,ʼăçêphâh,samehh-pey,ספ,collection,ʼăçêphâh,Hebrew,אספה,
H252,1008,ʼach,aleph-hhet,אח,brethern,ʼach,Hebrew,אח,
H252,1008,ʼach,aleph-hhet,אח,brother,ʼach,Hebrew,אח,
H253,1005,ʼâch,aleph-hey,אה,oh,ʼâch,Hebrew,אח,
H253,1111,ʼâch,NAME,אח,Oh!,ʼâch,Hebrew,אח,
H251,1008,ʼâch,aleph-hhet,אח,brother,ʼâch,Hebrew,אח,
H256,1111,ʼAchʼâb,NAME,אחאב,Achab,ʼAchʼâb,Hebrew,אחאב,
H308,1111,ʼĂchaçbay,NAME,אחסבי,Achasbai,ʼĂchaçbay,Hebrew,אחסבי,
H258,1165,ʼâchad,hhet-dalet,חד,go one way of other,ʼâchad,Hebrew,אחד,
H258,1165,ʼâchad,hhet-dalet,חד,unify,ʼâchad,Hebrew,אחד,
H311,1181,ʼachar,hhet-resh,חר,after,ʼachar,Hebrew,אחר,
H309,1181,ʼâchar,hhet-resh,חר,continue,ʼâchar,Hebrew,אחר,
H309,1181,ʼâchar,hhet-resh,חר,defer,ʼâchar,Hebrew,אחר,
H309,1181,ʼâchar,hhet-resh,חר,delay,ʼâchar,Hebrew,אחר,
H309,1181,ʼâchar,hhet-resh,חר,hinder,ʼâchar,Hebrew,אחר,
H309,1181,ʼâchar,hhet-resh,חר,late,ʼâchar,Hebrew,אחר,
H309,1181,ʼâchar,hhet-resh,חר,slack,ʼâchar,Hebrew,אחר,
H309,1181,ʼâchar,hhet-resh,חר,stay,ʼâchar,Hebrew,אחר,
H309,1181,ʼâchar,hhet-resh,חר,tarry,ʼâchar,Hebrew,אחר,
H316,1111,ʼĂcharchêl,NAME,אחרחל,Acharchel,ʼĂcharchêl,Hebrew,אחרחל,
H320,1181,ʼachărîyth,hhet-resh,חר,later,ʼachărîyth,Hebrew,אחרית,
H319,1181,ʼachărîyth,hhet-resh,חר,last,ʼachărîyth,Hebrew,אחרית,
H314,1181,ʼachărôwn,hhet-resh,חר,hinder,ʼachărôwn,Hebrew,אחרון,
H325,1111,ʼĂchashwêrôwsh,NAME,אחשורוש,Achashverosh,ʼĂchashwêrôwsh,Hebrew,אחשורוש,
H264,1008,ʼachăwâh,aleph-hhet,אח,fraternity,ʼachăwâh,Hebrew,אחוה,
H263,1167,ʼachăwâh,hhet-waw,חו,solution,ʼachăwâh,Hebrew,אחוה,
H270,1168,ʼâchaz,hhet-zayin,חז,seize,ʼâchaz,Hebrew,אחז,
H271,1111,ʼÂchâz,NAME,אחז,Achaz,ʼÂchâz,Hebrew,אחז,
H274,1111,ʼĂchazyâh,NAME,אחזיה,Achazjah,ʼĂchazyâh,Hebrew,אחזיה,
H257,1111,ʼAchbân,NAME,אחבן,Achban,ʼAchbân,Hebrew,אחבן,
H313,1111,ʼAchêr,NAME,אחר,Acher,ʼAchêr,Hebrew,אחר,
H277,1111,ʼĂchîy,NAME,אחי,Achi,ʼĂchîy,Hebrew,אחי,
H281,1111,ʼĂchîyâh,NAME,אחיה,Achijah,ʼĂchîyâh,Hebrew,אחיה,
H279,1111,ʼĂchîyʼâm,NAME,אחיאם,Achiam,ʼĂchîyʼâm,Hebrew,אחיאם,
H294,1111,ʼĂchîyçâmâk,NAME,אחיסמך,Achisamak,ʼĂchîyçâmâk,Hebrew,אחיסמך,
H284,1111,ʼĂchîychud,NAME,אחיחד,Achichud,ʼĂchîychud,Hebrew,אחיחד,
H280,1165,ʼăchîydâh,hhet-dalet,חד,enigma,ʼăchîydâh,Hebrew,אחידה,
H295,1111,ʼĂchîyʻezer,NAME,אחיעזר,Achiezer,ʼĂchîyʻezer,Hebrew,אחיעזר,
H282,1111,ʼĂchîyhûwd,NAME,אחיהוד,Achihud,ʼĂchîyhûwd,Hebrew,אחיהוד,
H286,1111,ʼĂchîylûwd,NAME,אחילוד,Achilud,ʼĂchîylûwd,Hebrew,אחילוד,
H290,1111,ʼĂchîymaʻats,NAME,אחימעץ,Achimaats,ʼĂchîymaʻats,Hebrew,אחימעץ,
H289,1111,ʼĂchîyman,NAME,אחימן,Achiman,ʼĂchîyman,Hebrew,אחימן,
H288,1111,ʼĂchîymelek,NAME,אחימלך,Achimelek,ʼĂchîymelek,Hebrew,אחימלך,
H287,1111,ʼĂchîymôwth,NAME,אחימות,Achimoth,ʼĂchîymôwth,Hebrew,אחימות,
H292,1111,ʼĂchîynâdâb,NAME,אחינדב,Achinadab,ʼĂchîynâdâb,Hebrew,אחינדב,
H293,1111,ʼĂchîynôʻam,NAME,אחינעם,Achinoam,ʼĂchîynôʻam,Hebrew,אחינעם,
H296,1111,ʼĂchîyqâm,NAME,אחיקם,Achikam,ʼĂchîyqâm,Hebrew,אחיקם,
H299,1111,ʼĂchîyraʻ,NAME,אחירע,Achira,ʼĂchîyraʻ,Hebrew,אחירע,
H297,1111,ʼĂchîyrâm,NAME,אחירם,Achiram,ʼĂchîyrâm,Hebrew,אחירם,
H298,1111,ʼĂchîyrâmîy,NAME,אחירמי,Achiramite,ʼĂchîyrâmîy,Hebrew,אחירמי,
H300,1111,ʼĂchîyshachar,NAME,אחישחר,Achishachar,ʼĂchîyshachar,Hebrew,אחישחר,
H301,1111,ʼĂchîyshâr,NAME,אחישר,Achishar,ʼĂchîyshâr,Hebrew,אחישר,
H302,1111,ʼĂchîythôphel,NAME,אחיתפל,Achithophel,ʼĂchîythôphel,Hebrew,אחיתפל,
H285,1111,ʼĂchîyṭûwb,NAME,אחיטוב,Achitub,ʼĂchîyṭûwb,Hebrew,אחיטוב,
H303,1111,ʼAchlâb,NAME,אחלב,Achlab,ʼAchlâb,Hebrew,אחלב,
H306,2164,ʼachlâmâh,hhet-lamed-mem,חלמ,amethyst,ʼachlâmâh,Hebrew,אחלמה,
H304,1111,ʼAchlay,NAME,אחלי,Achlai,ʼAchlay,Hebrew,אחלי,
H307,1111,ʼAchmᵉthâʼ,NAME,אחמתא,Achmetha,ʼAchmᵉthâʼ,Hebrew,אחמתא,
H322,1181,ʼăchôrannîyth,hhet-resh,חר,backwards,ʼăchôrannîyth,Hebrew,אחרנית,
H265,1111,ʼĂchôwach,NAME,אחוח,Achoach,ʼĂchôwach,Hebrew,אחוח,
H266,1111,ʼĂchôwchîy,NAME,אחוחי,Achochite,ʼĂchôwchîy,Hebrew,אחוחי,
H268,1181,ʼâchôwr,hhet-resh,חר,back,ʼâchôwr,Hebrew,אחור,
H268,1181,ʼâchôwr,hhet-resh,חר,back,ʼâchôwr,Hebrew,אחור,
H268,1181,ʼâchôwr,hhet-resh,חר,backward,ʼâchôwr,Hebrew,אחור,
H268,1181,ʼâchôwr,hhet-resh,חר,behind,ʼâchôwr,Hebrew,אחור,
H268,1181,ʼâchôwr,hhet-resh,חר,delay,ʼâchôwr,Hebrew,אחור,
H268,1181,ʼâchôwr,hhet-resh,חר,hinder part,ʼâchôwr,Hebrew,אחור,
H268,1181,ʼâchôwr,hhet-resh,חר,next,ʼâchôwr,Hebrew,אחור,
H269,1008,ʼâchôwth,aleph-hhet,אח,sister,ʼâchôwth,Hebrew,אחות,
H315,1111,ʼAchrach,NAME,אחרח,Achrach,ʼAchrach,Hebrew,אחרח,
H260,1008,ʼâchûw,aleph-hhet,אח,bulrush,ʼâchûw,Hebrew,אחו,
H267,1111,ʼĂchûwmay,NAME,אחומי,Achumai,ʼĂchûwmay,Hebrew,אחומי,
H272,1168,ʼăchuzzâh,hhet-zayin,חז,seized,ʼăchuzzâh,Hebrew,אחזה,
H275,1111,ʼĂchuzzâm,NAME,אחזם,Achuzzam,ʼĂchuzzâm,Hebrew,אחזם,
H276,1111,ʼĂchuzzath,NAME,אחזת,Achuzzath,ʼĂchuzzath,Hebrew,אחזת,
H262,1167,ʼachwâh,hhet-waw,חו,utterance,ʼachwâh,Hebrew,אחוה,
H291,1111,ʼAchyân,NAME,אחין,Achjan,ʼAchyân,Hebrew,אחין,
H283,1111,ʼAchyôw,NAME,אחיו,Achio,ʼAchyôw,Hebrew,אחיו,
H273,1111,ʼAchzay,NAME,אחזי,Achzai,ʼAchzay,Hebrew,אחזי,
H6071,1521,ʻâçîyç,ayin-samehh,עס,juice,ʻâçîyç,Hebrew,עסיס,
H6071,1521,ʻâçîyç,ayin-samehh,עס,must,ʻâçîyç,Hebrew,עסיס,
H6071,1521,ʻâçîyç,ayin-samehh,עס,new wine,ʻâçîyç,Hebrew,עסיס,
H6071,1521,ʻâçîyç,ayin-samehh,עס,sweet wine,ʻâçîyç,Hebrew,עסיס,
H614,1339,ʼâçîyph,samehh-pey,ספ,gathered,ʼâçîyph,Hebrew,אסיף,
H614,1339,ʼâçîyph,samehh-pey,ספ,ingathering,ʼâçîyph,Hebrew,אסיף,
H615,1342,ʼâçîyr,samehh-resh,סר,bound,ʼâçîyr,Hebrew,אסיר,
H619,1111,ʼAçnâh,NAME,אסנה,Asnah,ʼAçnâh,Hebrew,אסנה,
H611,1336,ʼâçôwn,samehh-nun,סנ,hurt,ʼâçôwn,Hebrew,אסון,
H630,1111,ʼAçpâthâʼ,NAME,אספתא,Aspatha,ʼAçpâthâʼ,Hebrew,אספתא,
H628,1339,ʼăçpᵉçuph,samehh-pey,ספ,gathered up together,ʼăçpᵉçuph,Hebrew,אספסף,
H624,1339,ʼâçuph,samehh-pey,ספ,collected,ʼâçuph,Hebrew,אסף,
H627,1339,ʼăçuppâh,samehh-pey,ספ,collection of,ʼăçuppâh,Hebrew,אספה,
H610,1410,ʼâçûwk,tsade-quph,צק,anointed,ʼâçûwk,Hebrew,אסוך,
H5706,1349,ʻad,ayin-dalet,עד,booty,ʻad,Hebrew,עד,
H5705,1349,ʻad,ayin-dalet,עד,until,ʻad,Hebrew,עד,
H5705,1349,ʻad,ayin-dalet,עד,up to,ʻad,Hebrew,עד,
H5705,1349,ʻad,ayin-dalet,עד,within,ʻad,Hebrew,עד,
H5704,1349,ʻad,ayin-dalet,עד,as far as,ʻad,Hebrew,עד,
H5704,1349,ʻad,ayin-dalet,עד,even,ʻad,Hebrew,עד,
H5704,1349,ʻad,ayin-dalet,עד,for,ʻad,Hebrew,עד,
